year,state,category,jurisdiction,budget_usd,pct_change_yoy,lag_1,rolling_3yr,budget_log
2018,AR,education,state,8086245000,3.53,-7.14,-0.187,9.9077
2019,AR,education,state,8076367000,-0.12,3.53,-1.243,9.9072
2020,AR,education,state,8116659000,0.5,-0.12,1.303,9.9094
2021,AR,education,state,9347291000,15.16,0.5,5.18,9.9707
2022,AR,education,state,10160849000,8.7,15.16,8.12,10.0069
2023,AR,education,state,10389893000,2.25,8.7,8.703,10.0166
2015,AR,environment,state,379466000,-3.74,-3.74,-3.74,8.5792
2016,AR,environment,state,389787000,2.72,-3.74,-0.51,8.5908
2017,AR,environment,state,364543000,-6.48,2.72,-2.5,8.5617
2018,AR,environment,state,351367000,-3.61,-6.48,-2.457,8.5458
2019,AR,environment,state,349770000,-0.45,-3.61,-3.513,8.5438
2020,AR,environment,state,332647000,-4.9,-0.45,-2.987,8.522
2021,AR,environment,state,357658000,7.52,-4.9,0.723,8.5535
2022,AR,environment,state,394217000,10.22,7.52,4.28,8.5957
2023,AR,environment,state,465058000,17.97,10.22,11.903,8.6675
2015,AR,housing,state,6572760000,18.19,18.19,18.19,9.8177
2016,AR,housing,state,6898386000,4.95,18.19,11.57,9.8387
2017,AR,housing,state,7415911000,7.5,4.95,10.213,9.8702
2018,AR,housing,state,6805973000,-8.22,7.5,1.41,9.8329
2019,AR,housing,state,7752884000,13.91,-8.22,4.397,9.8895
2020,AR,housing,state,7353581000,-5.15,13.91,0.18,9.8665
2021,AR,housing,state,7912728000,7.6,-5.15,5.453,9.8983
2022,AR,housing,state,9491215000,19.95,7.6,7.467,9.9773
2023,AR,housing,state,9692128000,2.12,19.95,9.89,9.9864
2015,AR,public_safety,state,458914000,6.42,6.42,6.42,8.6617
2016,AR,public_safety,state,455143000,-0.82,6.42,2.8,8.6581
2017,AR,public_safety,state,445258000,-2.17,-0.82,1.143,8.6486
2018,AR,public_safety,state,444901000,-0.08,-2.17,-1.023,8.6483
2019,AR,public_safety,state,467241000,5.02,-0.08,0.923,8.6695
2020,AR,public_safety,state,457288000,-2.13,5.02,0.937,8.6602
2021,AR,public_safety,state,447171000,-2.21,-2.13,0.227,8.6505
2022,AR,public_safety,state,484513000,8.35,-2.21,1.337,8.6853
2023,AR,public_safety,state,549993000,13.51,8.35,6.55,8.7404
2015,AR,transportation,state,1468304000,3.17,3.17,3.17,9.1668
2016,AR,transportation,state,1469473000,0.08,3.17,1.625,9.1672
2017,AR,transportation,state,1769689000,20.43,0.08,7.893,9.2479
2018,AR,transportation,state,1753460000,-0.92,20.43,6.53,9.2439
2019,AR,transportation,state,1479961000,-15.6,-0.92,1.303,9.1703
2020,AR,transportation,state,1596808000,7.9,-15.6,-2.873,9.2033
2021,AR,transportation,state,1949806000,22.11,7.9,4.803,9.29
2022,AR,transportation,state,1999620000,2.55,22.11,10.853,9.3009
2023,AR,transportation,state,2133474000,6.69,2.55,10.45,9.3291
2015,AZ,education,state,10452117000,6.68,6.68,6.68,10.0192
2016,AZ,education,state,11369424000,8.78,6.68,7.73,10.0557
2017,AZ,education,state,11825297000,4.01,8.78,6.49,10.0728
2018,AZ,education,state,12377309000,4.67,4.01,5.82,10.0926
2019,AZ,education,state,13133885000,6.11,4.67,4.93,10.1184
2020,AZ,education,state,14447314000,10.0,6.11,6.927,10.1598
2021,AZ,education,state,15261364000,5.63,10.0,7.247,10.1836
2022,AZ,education,state,17286157000,13.27,5.63,9.633,10.2377
2023,AZ,education,state,19192297000,11.03,13.27,9.977,10.2831
2015,AZ,environment,state,334408000,-4.06,-4.06,-4.06,8.5243
2016,AZ,environment,state,350216000,4.73,-4.06,0.335,8.5443
2017,AZ,environment,state,410132000,17.11,4.73,5.927,8.6129
2018,AZ,environment,state,441834000,7.73,17.11,9.857,8.6453
2019,AZ,environment,state,457818000,3.62,7.73,9.487,8.6607
2020,AZ,environment,state,479970000,4.84,3.62,5.397,8.6812
2021,AZ,environment,state,466573000,-2.79,4.84,1.89,8.6689
2022,AZ,environment,state,552538000,18.42,-2.79,6.823,8.7424
2023,AZ,environment,state,719542000,30.0,18.42,15.21,8.8571
2015,AZ,housing,state,10346172000,13.69,13.69,13.69,10.0148
2016,AZ,housing,state,13159774000,27.19,13.69,20.44,10.1192
2017,AZ,housing,state,14581123000,10.8,27.19,17.227,10.1638
2018,AZ,housing,state,15169340000,4.03,10.8,14.007,10.181
2019,AZ,housing,state,16055113000,5.84,4.03,6.89,10.2056
2020,AZ,housing,state,17505400000,9.03,5.84,6.3,10.2432
2021,AZ,housing,state,21136644000,20.74,9.03,11.87,10.325
2022,AZ,housing,state,25202743000,19.24,20.74,16.337,10.4014
2023,AZ,housing,state,28429445000,12.8,19.24,17.593,10.4538
2015,AZ,public_safety,state,1356871000,2.96,2.96,2.96,9.1325
2016,AZ,public_safety,state,1322817000,-2.51,2.96,0.225,9.1215
2017,AZ,public_safety,state,1361585000,2.93,-2.51,1.127,9.134
2018,AZ,public_safety,state,1376283000,1.08,2.93,0.5,9.1387
2019,AZ,public_safety,state,1410075000,2.46,1.08,2.157,9.1492
2020,AZ,public_safety,state,1674062000,18.72,2.46,7.42,9.2238
2021,AZ,public_safety,state,1782286000,6.46,18.72,9.213,9.251
2022,AZ,public_safety,state,1909389000,7.13,6.46,10.77,9.2809
2023,AZ,public_safety,state,2186753000,14.53,7.13,9.373,9.3398
2015,AZ,transportation,state,1966947000,10.54,10.54,10.54,9.2938
2016,AZ,transportation,state,2129986000,8.29,10.54,9.415,9.3284
2017,AZ,transportation,state,2217232000,4.1,8.29,7.643,9.3458
2018,AZ,transportation,state,2348800000,5.93,4.1,6.107,9.3708
2019,AZ,transportation,state,2271219000,-3.3,5.93,2.243,9.3563
2020,AZ,transportation,state,2414605000,6.31,-3.3,2.98,9.3828
2021,AZ,transportation,state,2231733000,-7.57,6.31,-1.52,9.3486
2022,AZ,transportation,state,2446583000,9.63,-7.57,2.79,9.3886
2023,AZ,transportation,state,2866195000,17.15,9.63,6.403,9.4573
2015,CA,education,state,90276519000,12.7,12.7,12.7,10.9556
2016,CA,education,state,94666744000,4.86,12.7,8.78,10.9762
2017,CA,education,state,97240115000,2.72,4.86,6.76,10.9878
2018,CA,education,state,102370778000,5.28,2.72,4.287,11.0102
2019,CA,education,state,112547297000,9.94,5.28,5.98,11.0513
2020,CA,education,state,109507660000,-2.7,9.94,4.173,11.0394
2021,CA,education,state,113385225000,3.54,-2.7,3.593,11.0546
2022,CA,education,state,131997080000,16.41,3.54,5.75,11.1206
2023,CA,education,state,136786138000,3.63,16.41,7.86,11.136
2015,CA,environment,state,4339023000,1.01,1.01,1.01,9.6374
2016,CA,environment,state,7531243000,30.0,1.01,15.505,9.8769
2017,CA,environment,state,6557382000,-12.93,30.0,6.027,9.8167
2018,CA,environment,state,6644728000,1.33,-12.93,6.133,9.8225
2019,CA,environment,state,9658182000,30.0,1.33,6.133,9.9849
2020,CA,environment,state,8741734000,-9.49,30.0,7.28,9.9416
2021,CA,environment,state,7898859000,-9.64,-9.49,3.623,9.8976
2022,CA,environment,state,16085066000,30.0,-9.64,3.623,10.2064
2023,CA,environment,state,12475732000,-20.0,30.0,0.12,10.0961
2015,CA,housing,state,109031702000,30.0,30.0,30.0,11.0376
2016,CA,housing,state,123038997000,12.85,30.0,21.425,11.09
2017,CA,housing,state,124120263000,0.88,12.85,14.577,11.0938
2018,CA,housing,state,132062079000,6.4,0.88,6.71,11.1208
2019,CA,housing,state,144503870000,9.42,6.4,5.567,11.1599
2020,CA,housing,state,147236699000,1.89,9.42,5.903,11.168
2021,CA,housing,state,165107693000,12.14,1.89,7.817,11.2178
2022,CA,housing,state,186831040000,13.16,12.14,9.063,11.2714
2023,CA,housing,state,201808351000,8.02,13.16,11.107,11.3049
2015,CA,public_safety,state,11458576000,7.42,7.42,7.42,10.0591
2016,CA,public_safety,state,11466406000,0.07,7.42,3.745,10.0594
2017,CA,public_safety,state,10421613000,-9.11,0.07,-0.54,10.0179
2018,CA,public_safety,state,10970628000,5.27,-9.11,-1.257,10.0402
2019,CA,public_safety,state,10792066000,-1.63,5.27,-1.823,10.0331
2020,CA,public_safety,state,12228920000,13.31,-1.63,5.65,10.0874
2021,CA,public_safety,state,13718767000,12.18,13.31,7.953,10.1373
2022,CA,public_safety,state,14102903000,2.8,12.18,9.43,10.1493
2023,CA,public_safety,state,14133393000,0.22,2.8,5.067,10.1502
2015,CA,transportation,state,10529860000,-19.04,-19.04,-19.04,10.0224
2016,CA,transportation,state,10923189000,3.74,-19.04,-7.65,10.0383
2017,CA,transportation,state,10825735000,-0.89,3.74,-5.397,10.0345
2018,CA,transportation,state,10932941000,0.99,-0.89,1.28,10.0387
2019,CA,transportation,state,15630560000,30.0,0.99,10.033,10.194
2020,CA,transportation,state,18874021000,20.75,30.0,17.247,10.2759
2021,CA,transportation,state,17123175000,-9.28,20.75,13.823,10.2336
2022,CA,transportation,state,19922773000,16.35,-9.28,9.273,10.2993
2023,CA,transportation,state,25169592000,26.34,16.35,11.137,10.4009
2015,CO,education,state,10988746000,8.17,8.17,8.17,10.0409
2016,CO,education,state,11710954000,6.57,8.17,7.37,10.0686
2017,CO,education,state,12307586000,5.09,6.57,6.61,10.0902
2018,CO,education,state,12629404000,2.61,5.09,4.757,10.1014
2019,CO,education,state,12718056000,0.7,2.61,2.8,10.1044
2020,CO,education,state,13528330000,6.37,0.7,3.227,10.1312
2021,CO,education,state,13138558000,-2.88,6.37,1.397,10.1185
2022,CO,education,state,14971884000,13.95,-2.88,5.813,10.1753
2023,CO,education,state,16321228000,9.01,13.95,6.693,10.2128
2015,CO,environment,state,433143000,-3.35,-3.35,-3.35,8.6366
2016,CO,environment,state,428376000,-1.1,-3.35,-2.225,8.6318
2017,CO,environment,state,471227000,10.0,-1.1,1.85,8.6732
2018,CO,environment,state,536615000,13.88,10.0,7.593,8.7297
2019,CO,environment,state,523143000,-2.51,13.88,7.123,8.7186
2020,CO,environment,state,503878000,-3.68,-2.51,2.563,8.7023
2021,CO,environment,state,535890000,6.35,-3.68,0.053,8.7291
2022,CO,environment,state,718264000,30.0,6.35,10.89,8.8563
2023,CO,environment,state,733540000,2.13,30.0,12.827,8.8654
2015,CO,housing,state,7927080000,17.96,17.96,17.96,9.8991
2016,CO,housing,state,8646906000,9.08,17.96,13.52,9.9369
2017,CO,housing,state,8531244000,-1.34,9.08,8.567,9.931
2018,CO,housing,state,9883546000,15.85,-1.34,7.863,9.9949
2019,CO,housing,state,9785362000,-0.99,15.85,4.507,9.9906
2020,CO,housing,state,10863791000,11.02,-0.99,8.627,10.036
2021,CO,housing,state,11915017000,9.68,11.02,6.57,10.0761
2022,CO,housing,state,13848645000,16.23,9.68,12.31,10.1414
2023,CO,housing,state,13829851000,-0.14,16.23,8.59,10.1408
2015,CO,public_safety,state,1201283000,2.83,2.83,2.83,9.0796
2016,CO,public_safety,state,1236458000,2.93,2.83,2.88,9.0922
2017,CO,public_safety,state,1249721000,1.07,2.93,2.277,9.0968
2018,CO,public_safety,state,1306186000,4.52,1.07,2.84,9.116
2019,CO,public_safety,state,1371905000,5.03,4.52,3.54,9.1373
2020,CO,public_safety,state,1473915000,7.44,5.03,5.663,9.1685
2021,CO,public_safety,state,1483533000,0.65,7.44,4.373,9.1713
2022,CO,public_safety,state,1466450000,-1.15,0.65,2.313,9.1663
2023,CO,public_safety,state,1543419000,5.25,-1.15,1.583,9.1885
2015,CO,transportation,state,1879658000,12.81,12.81,12.81,9.2741
2016,CO,transportation,state,1890449000,0.57,12.81,6.69,9.2766
2017,CO,transportation,state,2054430000,8.67,0.57,7.35,9.3127
2018,CO,transportation,state,2057999000,0.17,8.67,3.137,9.3134
2019,CO,transportation,state,1946007000,-5.44,0.17,1.133,9.2891
2020,CO,transportation,state,2209160000,13.52,-5.44,2.75,9.3442
2021,CO,transportation,state,2144872000,-2.91,13.52,1.723,9.3314
2022,CO,transportation,state,2204947000,2.8,-2.91,4.47,9.3434
2023,CO,transportation,state,2351442000,6.64,2.8,2.177,9.3713
2015,CT,education,state,7728457000,7.73,7.73,7.73,9.8881
2016,CT,education,state,8027070000,3.86,7.73,5.795,9.9046
2017,CT,education,state,7760707000,-3.32,3.86,2.757,9.8899
2018,CT,education,state,7355124000,-5.23,-3.32,-1.563,9.8666
2019,CT,education,state,7473755000,1.61,-5.23,-2.313,9.8735
2020,CT,education,state,7755324000,3.77,1.61,0.05,9.8896
2021,CT,education,state,8194812000,5.67,3.77,3.683,9.9135
2022,CT,education,state,9045013000,10.37,5.67,6.603,9.9564
2023,CT,education,state,8614649000,-4.76,10.37,3.76,9.9352
2015,CT,environment,state,328495000,30.0,30.0,30.0,8.5165
2016,CT,environment,state,312526000,-4.86,30.0,12.57,8.4949
2017,CT,environment,state,283372000,-9.33,-4.86,5.27,8.4524
2018,CT,environment,state,246518000,-13.01,-9.33,-9.067,8.3918
2019,CT,environment,state,273185000,10.82,-13.01,-3.84,8.4365
2020,CT,environment,state,274316000,0.41,10.82,-0.593,8.4383
2021,CT,environment,state,238120000,-13.2,0.41,-0.657,8.3768
2022,CT,environment,state,319702000,30.0,-13.2,5.737,8.5047
2023,CT,environment,state,326838000,2.23,30.0,6.343,8.5143
2015,CT,housing,state,4256901000,-20.0,-20.0,-20.0,9.6291
2016,CT,housing,state,4268256000,0.27,-20.0,-9.865,9.6303
2017,CT,housing,state,4298689000,0.71,0.27,-6.34,9.6333
2018,CT,housing,state,4922861000,14.52,0.71,5.167,9.6922
2019,CT,housing,state,4917254000,-0.11,14.52,5.04,9.6917
2020,CT,housing,state,4944104000,0.55,-0.11,4.987,9.6941
2021,CT,housing,state,4844467000,-2.02,0.55,-0.527,9.6852
2022,CT,housing,state,5530666000,14.16,-2.02,4.23,9.7428
2023,CT,housing,state,5684955000,2.79,14.16,4.977,9.7547
2015,CT,public_safety,state,957196000,-2.83,-2.83,-2.83,8.981
2016,CT,public_safety,state,976007000,1.97,-2.83,-0.43,8.9895
2017,CT,public_safety,state,871264000,-10.73,1.97,-3.863,8.9401
2018,CT,public_safety,state,862862000,-0.96,-10.73,-3.24,8.9359
2019,CT,public_safety,state,911912000,5.68,-0.96,-2.003,8.96
2020,CT,public_safety,state,986207000,8.15,5.68,4.29,8.994
2021,CT,public_safety,state,1164290000,18.06,8.15,10.63,9.0661
2022,CT,public_safety,state,1007710000,-13.45,18.06,4.253,9.0033
2023,CT,public_safety,state,1077490000,6.92,-13.45,3.843,9.0324
2015,CT,transportation,state,1545053000,1.33,1.33,1.33,9.1889
2016,CT,transportation,state,1782018000,15.34,1.33,8.335,9.2509
2017,CT,transportation,state,1657348000,-7.0,15.34,3.223,9.2194
2018,CT,transportation,state,1572221000,-5.14,-7.0,1.067,9.1965
2019,CT,transportation,state,1585220000,0.83,-5.14,-3.77,9.2001
2020,CT,transportation,state,1652095000,4.22,0.83,-0.03,9.218
2021,CT,transportation,state,1674628000,1.36,4.22,2.137,9.2239
2022,CT,transportation,state,1659422000,-0.91,1.36,1.557,9.22
2023,CT,transportation,state,2167636000,30.0,-0.91,10.15,9.336
2015,DE,education,state,3027509000,5.19,5.19,5.19,9.4811
2016,DE,education,state,3089166000,2.04,5.19,3.615,9.4898
2017,DE,education,state,3406873000,10.28,2.04,5.837,9.5324
2018,DE,education,state,3327622000,-2.33,10.28,3.33,9.5221
2019,DE,education,state,3606269000,8.37,-2.33,5.44,9.5571
2020,DE,education,state,3996817000,10.83,8.37,5.623,9.6017
2021,DE,education,state,4093072000,2.41,10.83,7.203,9.612
2022,DE,education,state,3954370000,-3.39,2.41,3.283,9.5971
2023,DE,education,state,4464152000,12.89,-3.39,3.97,9.6497
2015,DE,environment,state,120626000,4.68,4.68,4.68,8.0814
2016,DE,environment,state,136892000,13.48,4.68,9.08,8.1364
2017,DE,environment,state,137221000,0.24,13.48,6.133,8.1374
2018,DE,environment,state,127717000,-6.93,0.24,2.263,8.1062
2019,DE,environment,state,133883000,4.83,-6.93,-0.62,8.1267
2020,DE,environment,state,148312000,10.78,4.83,2.893,8.1712
2021,DE,environment,state,142236000,-4.1,10.78,3.837,8.153
2022,DE,environment,state,174163000,22.45,-4.1,9.71,8.241
2023,DE,environment,state,194691000,11.79,22.45,10.047,8.2893
2015,DE,housing,state,2288305000,8.93,8.93,8.93,9.3595
2016,DE,housing,state,2424019000,5.93,8.93,7.43,9.3845
2017,DE,housing,state,2527202000,4.26,5.93,6.373,9.4026
2018,DE,housing,state,2718990000,7.59,4.26,5.927,9.4344
2019,DE,housing,state,2664639000,-2.0,7.59,3.283,9.4256
2020,DE,housing,state,2846271000,6.82,-2.0,4.137,9.4543
2021,DE,housing,state,3171154000,11.41,6.82,5.41,9.5012
2022,DE,housing,state,3499541000,10.36,11.41,9.53,9.544
2023,DE,housing,state,3851044000,10.04,10.36,10.603,9.5856
2015,DE,public_safety,state,445040000,3.17,3.17,3.17,8.6484
2016,DE,public_safety,state,450753000,1.28,3.17,2.225,8.6539
2017,DE,public_safety,state,475953000,5.59,1.28,3.347,8.6776
2018,DE,public_safety,state,486605000,2.24,5.59,3.037,8.6872
2019,DE,public_safety,state,512444000,5.31,2.24,4.38,8.7096
2020,DE,public_safety,state,581906000,13.56,5.31,7.037,8.7649
2021,DE,public_safety,state,597931000,2.75,13.56,7.207,8.7767
2022,DE,public_safety,state,641840000,7.34,2.75,7.883,8.8074
2023,DE,public_safety,state,670841000,4.52,7.34,4.87,8.8266
2015,DE,transportation,state,336002000,-9.5,-9.5,-9.5,8.5263
2016,DE,transportation,state,433503000,29.02,-9.5,9.76,8.637
2017,DE,transportation,state,656309000,30.0,29.02,16.507,8.8171
2018,DE,transportation,state,562189000,-14.34,30.0,14.893,8.7499
2019,DE,transportation,state,650888000,15.78,-14.34,10.48,8.8135
2020,DE,transportation,state,586751000,-9.85,15.78,-2.803,8.7685
2021,DE,transportation,state,684976000,16.74,-9.85,7.557,8.8357
2022,DE,transportation,state,660292000,-3.6,16.74,1.097,8.8197
2023,DE,transportation,state,689256000,4.39,-3.6,5.843,8.8384
2015,FL,education,state,25023832000,1.77,1.77,1.77,10.3984
2016,FL,education,state,26253294000,4.91,1.77,3.34,10.4192
2017,FL,education,state,26932592000,2.59,4.91,3.09,10.4303
2018,FL,education,state,28660079000,6.41,2.59,4.637,10.4573
2019,FL,education,state,30050827000,4.85,6.41,4.617,10.4779
2020,FL,education,state,31012523000,3.2,4.85,4.82,10.4915
2021,FL,education,state,33026652000,6.49,3.2,4.847,10.5189
2022,FL,education,state,36134286000,9.41,6.49,6.367,10.5579
2023,FL,education,state,40443045000,11.92,9.41,9.273,10.6068
2015,FL,environment,state,1308464000,6.3,6.3,6.3,9.1168
2016,FL,environment,state,1228284000,-6.13,6.3,0.085,9.0893
2017,FL,environment,state,1679023000,30.0,-6.13,10.057,9.2251
2018,FL,environment,state,1962902000,16.91,30.0,13.593,9.2929
2019,FL,environment,state,1963955000,0.05,16.91,15.653,9.2931
2020,FL,environment,state,2029379000,3.33,0.05,6.763,9.3074
2021,FL,environment,state,2045738000,0.81,3.33,1.397,9.3109
2022,FL,environment,state,2216325000,8.34,0.81,4.16,9.3456
2023,FL,environment,state,2424270000,9.38,8.34,6.177,9.3846
2015,FL,housing,state,25776510000,6.41,6.41,6.41,10.4112
2016,FL,housing,state,25353445000,-1.64,6.41,2.385,10.404
2017,FL,housing,state,26989511000,6.45,-1.64,3.74,10.4312
2018,FL,housing,state,27812728000,3.05,6.45,2.62,10.4442
2019,FL,housing,state,27685583000,-0.46,3.05,3.013,10.4423
2020,FL,housing,state,29421513000,6.27,-0.46,2.953,10.4687
2021,FL,housing,state,31713307000,7.79,6.27,4.533,10.5012
2022,FL,housing,state,37309373000,17.65,7.79,10.57,10.5718
2023,FL,housing,state,40344900000,8.14,17.65,11.193,10.6058
2015,FL,public_safety,state,3026993000,1.96,1.96,1.96,9.481
2016,FL,public_safety,state,3095318000,2.26,1.96,2.11,9.4907
2017,FL,public_safety,state,3200665000,3.4,2.26,2.54,9.5052
2018,FL,public_safety,state,3402098000,6.29,3.4,3.983,9.5317
2019,FL,public_safety,state,3435985000,1.0,6.29,3.563,9.5361
2020,FL,public_safety,state,3869618000,12.62,1.0,6.637,9.5877
2021,FL,public_safety,state,3812722000,-1.47,12.62,4.05,9.5812
2022,FL,public_safety,state,3753703000,-1.55,-1.47,3.2,9.5745
2023,FL,public_safety,state,4403778000,17.32,-1.55,4.767,9.6438
2015,FL,transportation,state,7955847000,8.4,8.4,8.4,9.9007
2016,FL,transportation,state,7990488000,0.44,8.4,4.42,9.9026
2017,FL,transportation,state,8659272000,8.37,0.44,5.737,9.9375
2018,FL,transportation,state,8434775000,-2.59,8.37,2.073,9.9261
2019,FL,transportation,state,9121860000,8.15,-2.59,4.643,9.9601
2020,FL,transportation,state,9050894000,-0.78,8.15,1.593,9.9567
2021,FL,transportation,state,8763391000,-3.18,-0.78,1.397,9.9427
2022,FL,transportation,state,9462303000,7.98,-3.18,1.34,9.976
2023,FL,transportation,state,10125567000,7.01,7.98,3.937,10.0054
2015,GA,education,state,17276438000,-0.83,-0.83,-0.83,10.2375
2016,GA,education,state,18229557000,5.52,-0.83,2.345,10.2608
2017,GA,education,state,18967544000,4.05,5.52,2.913,10.278
2018,GA,education,state,20033924000,5.62,4.05,5.063,10.3018
2019,GA,education,state,20917587000,4.41,5.62,4.693,10.3205
2020,GA,education,state,22206276000,6.16,4.41,5.397,10.3465
